Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Unnamed: 15,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.127094,0.016738012,5.708420177123501e-05,0.033766094,-0.789910485,0.0056,0.0094,0.0122,0.0144,0.0167,0.0188,0.0212,0.0238,0.027,0.0339,,0.4029287142103077,0.4078818292907146,0.7451511956613598,0.048735537197683886,0.13104986138440095,0.06881982993164532,0.08571943588601216,0.11337548138414355,0.1135174173412706,0.9158306508384536,0.8055380745069166,0.9481200041619052,0.08069303050854083,0.06639107303520143,0.06762914728094503
0.128723,0.016907386,5.225328941878986e-05,0.026964042,-0.854941315,0.0074,0.0104,0.0122,0.0148,0.0167,0.0189,0.0213,0.0235,0.0269,0.0329,,0.412083865141157,0.42448361369781007,0.6687284479085082,0.04672161696640673,0.14615873666640114,0.08200245616863544,0.08126284937494017,0.08454457856032947,0.12666206579104242,0.8831082228404251,0.912309505781817,0.8372575234368806,0.0748428924674858,0.08344754349310601,0.07288719334968882
0.132728,0.017599931,5.534135103964096e-05,-0.021859309,-0.805519281,0.0069,0.0104,0.0127,0.0155,0.0176,0.0202,0.0221,0.0248,0.0274,0.0372,,0.39855808214139915,0.4104484805836258,0.8110406502930299,0.03759160417915669,0.1384592819862549,0.059839195110380584,0.09886194755194204,0.09527907470191417,0.11351206558905338,0.8791608110847041,0.9934014080531706,0.8339511496807815,0.07100136137691954,0.08852136304825206,0.08988753368272183
0.132362,0.017601192,5.2073345348224174e-05,0.068666063,-0.7413354,0.0075,0.0107,0.0128,0.0154,0.0174,0.0199,0.0217,0.0244,0.0275,0.037,,0.3688404948017895,0.48784038873559965,0.5277249127986657,0.045398100878265575,0.1339233318840243,0.057362518116097425,0.07796972922941134,0.08256664734483231,0.12430692037166086,0.9210197255957736,0.9536820101591456,0.8964134328231584,0.07431605271334454,0.08778930552273312,0.08607585278340979
0.170061,0.023301847,7.942015236210256e-05,-0.055741661,-0.817664502,0.0106,0.0151,0.0179,0.0204,0.0235,0.0262,0.0288,0.0317,0.0355,0.0432,,0.3687304691577992,0.47903077858998955,0.5188052704243926,0.03763281919701785,0.13480771369916786,0.07119000157770093,0.10060799785044779,0.11818728878772494,0.09866174397805497,0.8591735072406574,0.8306310330121586,0.8089306990909666,0.05881105359088414,0.08894993664258244,0.09875634231202017
0.174763,0.022749172,9.168074793697264e-05,0.034608355,-0.730714715,0.0096,0.0134,0.0176,0.0201,0.0226,0.0254,0.0282,0.0317,0.0355,0.0449,,0.36643735829781116,0.4458305395124682,0.5077493155406795,0.0407440685745865,0.1473004799137605,0.06770235406326051,0.07358411000631238,0.10083887432429452,0.09769136937208109,0.9521629423631464,0.9155247950152631,0.9439665196622946,0.08618869818477816,0.07062262541826249,0.08423586135178891
0.17024,0.020441971,6.049271563580642e-05,-0.028643739,-0.689553264,0.0103,0.013,0.0159,0.0184,0.0206,0.0228,0.0253,0.0277,0.0305,0.0401,,0.41533715903117324,0.45411278960257656,0.8173039328301297,0.04701878227186633,0.12424342688943728,0.052585387119040684,0.10385167593735514,0.11752811974687088,0.10615357299882865,0.9438663084667503,0.9662529239359188,0.8326818274784759,0.0881642479230931,0.052084658214228245,0.07297768336098436
0.172509,0.024497277,9.304841647645422e-05,0.1527414694393844,-0.511975802,0.0121,0.0157,0.0187,0.0214,0.0239,0.0268,0.0298,0.033,0.0375,0.0501,,0.37141641327477765,0.4570874218318805,0.7497339509751343,0.04268638368285598,0.12029212723485652,0.05042639981768475,0.10337004839938718,0.11867086605592252,0.11076891650279518,0.882518630563902,0.944110768283775,0.8030669145887157,0.07843263118880116,0.07093134806428673,0.06297887703520633
0.172962,0.021962854,8.992248645464391e-05,-0.040962768,-0.778248862,0.0087,0.0131,0.0165,0.0191,0.022,0.0249,0.0275,0.0307,0.0352,0.0429,,0.40415508099247455,0.41828160728381875,0.5617698737056148,0.03839321150984765,0.12297589113520066,0.07048901945954002,0.07028132899794805,0.0810937263509885,0.09808083109960652,0.834400602476535,0.9573579721046241,0.8820281666593747,0.06737616680087931,0.09794092589643541,0.07976795890807357
0.166358,0.021529819,9.068000009924392e-05,0.0600218,-0.577692762,0.009,0.0128,0.0161,0.0189,0.0216,0.0239,0.027,0.0299,0.0342,0.0499,,0.4120140702635601,0.4973498137946447,0.7720092884585478,0.049180804725610074,0.14704872254435208,0.06832686497796836,0.1007070339847221,0.10762275585987607,0.10577790750672579,0.9658240232613667,0.9598690059576938,0.8100110885009583,0.05788367617769446,0.06364265193211911,0.08203893206354447
0.172712,0.023020929,7.710019444576373e-05,-0.045203091,-0.799770978,0.0112,0.0148,0.0175,0.0202,0.0234,0.0258,0.0283,0.0314,0.0348,0.0424,,0.4183591820550969,0.4833843517169849,0.5257462973523982,0.03876309835408183,0.13386227240202273,0.05502818711353919,0.09967291800432802,0.0806550239517611,0.12786173834848646,0.8348330029104196,0.9285937186491926,0.8977084638853636,0.0716300698143324,0.09798357484357419,0.06513189527978408
0.16756,0.024572147,7.197659670288806e-05,-0.10960023,-0.609342229,0.0133,0.017,0.0195,0.0222,0.0249,0.0271,0.0295,0.0323,0.0363,0.0433,,0.41712244418651645,0.4748974036816729,0.8302396847102762,0.0394256835276379,0.11795454000937128,0.06166391447893325,0.09033615991889862,0.09989092559217537,0.11974426693917342,0.9544714662615295,0.85186928454579,0.9275006545055864,0.05518300860060429,0.07141967135860411,0.09786256639697632
0.170997,0.022844843,0.000102188,0.1184320165107776,-0.526415192,0.0096,0.0135,0.017,0.02,0.0227,0.0253,0.0284,0.0315,0.0366,0.0492,,0.4088446399965724,0.49637422578471585,0.6906788338610103,0.03563053069177745,0.14232456096380935,0.06280247066730714,0.06681180720309039,0.09253261070497054,0.10442809464486308,0.9752956560332978,0.8821677905049825,0.8344817907742854,0.07808504359808978,0.096476259157942,0.0883409653836838
0.172346,0.022827215,9.586513307901607e-05,0.016295458,-0.659356166,0.0098,0.0136,0.017,0.0199,0.0228,0.0256,0.0287,0.0318,0.0356,0.0491,,0.38862912798012156,0.4548929132228139,0.9169444858605796,0.04418293133541082,0.14756121349591272,0.08268126406376036,0.07416104918172144,0.11277174678741994,0.12389503046304337,0.8700996202853717,0.9696178151067087,0.9864540757337089,0.08757002153704596,0.09289511355826946,0.09436204617791648
