Porosity,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.169424,0.019866359,6.67E-05,-0.062118796,-0.90868504,0.005,0.009,0.0113,0.0144,0.0167,0.0207,0.022,0.0254,0.0271,0.0309,0.0391,,0.4099,0.4143,0.6587,0.0491,0.1118,0.0608,0.0704,0.0822,0.0982,0.8737,0.805,0.9389,0.0444,0.0466,0.0504
0.129058,0.04403722,0.000939016,0.537926869,-0.998247253,0.005,0.0096,0.0144,0.0216,0.0266,0.034,0.0472,0.0653,0.0766,0.09,0.1056,,0.3741,0.4831,0.6458,0.0401,0.142,0.0569,0.0924,0.0952,0.1222,0.9219,0.8624,0.9181,0.0552,0.0291,0.0265
0.152335,0.023460394,8.01E-05,0.000377262,-0.730680387,0.005,0.0117,0.0157,0.0181,0.0205,0.0243,0.0264,0.0287,0.032,0.0358,0.0447,,0.4182,0.4207,0.8033,0.0458,0.1213,0.0675,0.0682,0.0836,0.1046,0.8047,0.834,0.8082,0.0314,0.0457,0.0423
0.182197,0.018576035,7.65E-05,0.237889612,-0.640378087,0.005,0.0065,0.0106,0.0123,0.0154,0.019,0.0207,0.0232,0.0265,0.0307,0.0415,,0.352,0.4601,0.5099,0.0374,0.1167,0.0456,0.0656,0.0757,0.093,0.9817,0.9543,0.8089,0.0537,0.0497,0.028
0.142814,0.021644016,5.81E-05,-0.155436578,-0.589318445,0.005,0.0108,0.0144,0.0167,0.0206,0.0217,0.0242,0.0261,0.0284,0.0317,0.0391,,0.408,0.4441,0.8732,0.0392,0.1135,0.0598,0.0616,0.0758,0.0978,0.9985,0.9653,0.8842,0.0589,0.0327,0.0576
0.174682,0.081318853,0.002149107,0.000954814,-1.170067002,0.005,0.0163,0.0321,0.0489,0.0663,0.083,0.0967,0.1109,0.1287,0.148,0.174,,0.3558,0.4632,0.8628,0.0371,0.1361,0.048,0.0826,0.095,0.1136,0.953,0.9033,0.9134,0.0212,0.0449,0.0256
0.219992,0.025896617,0.000128927,0.116680318,-0.677891381,0.005,0.011,0.0158,0.02,0.022,0.0257,0.0294,0.0329,0.0359,0.0408,0.0539,,0.3719,0.4044,0.5753,0.0422,0.1238,0.0604,0.0732,0.089,0.1071,0.8429,0.8042,0.8084,0.0452,0.0427,0.0554
0.107102,0.021000795,6.88E-05,0.055328087,-0.723712329,0.005,0.0101,0.0139,0.0155,0.0188,0.0206,0.0239,0.0257,0.0286,0.0325,0.0403,,0.3963,0.4849,0.8586,0.042,0.132,0.0667,0.0743,0.0994,0.1087,0.9448,0.8226,0.9278,0.0415,0.0535,0.0336
0.124201,0.046915802,0.00157339,1.12422139,-0.12761848,0.005,0.01,0.0157,0.0211,0.026,0.0309,0.0367,0.0503,0.084,0.1239,0.1322,,0.3779,0.4863,0.8367,0.0427,0.1446,0.0685,0.0932,0.1114,0.1187,0.846,0.924,0.9036,0.032,0.0551,0.0289
0.104684,0.019437642,8.56E-05,0.253430987,-0.631258362,0.005,0.0067,0.011,0.0145,0.016,0.0198,0.0215,0.0246,0.027,0.0323,0.0427,,0.4017,0.4843,0.7598,0.0497,0.1496,0.0588,0.0819,0.1068,0.1259,0.9829,0.8128,0.9335,0.0245,0.0251,0.0414
0.16223,0.030782707,0.000295614,0.56147381,-0.427915141,0.005,0.0096,0.014,0.0196,0.0238,0.0284,0.0331,0.0381,0.0451,0.0575,0.0723,,0.3586,0.47,0.6665,0.0492,0.1368,0.0699,0.08,0.1043,0.1124,0.9605,0.8576,0.8932,0.0493,0.0229,0.0454
