Param_1,Param_2,Param_3,Param_4,Param_5,Param_6,Param_7,Param_8,Param_9,Param_10,Param_11,Param_12,Param_13,Param_14,Param_15,Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100
0.4198,0.4839,0.6301,0.044,0.1131,0.0513,0.0664,0.0904,0.1049,0.8154,0.9596,0.8615,0.0802,0.0855,0.0967,0.091014,0.01379231,3.9e-05,0.163367159,-0.907817943,0.0056,0.0063,0.011,0.0118,0.0149,0.0156,0.0172,0.0202,0.022,0.0296
0.374,0.439,0.8663,0.0432,0.1372,0.0628,0.0825,0.1029,0.1162,0.8387,0.8018,0.8024,0.0517,0.0563,0.0913,0.179937,0.030494859,0.00012342,0.072076464,-0.164362996,0.0154,0.0206,0.025,0.0269,0.031,0.0331,0.0358,0.0396,0.0449,0.0604
0.3567,0.4113,0.8897,0.0479,0.1354,0.0638,0.079,0.1136,0.1178,0.941,0.9992,0.9627,0.0515,0.0672,0.0841,0.217399,0.036969398,0.000172487,0.107831404,0.410215553,0.0208,0.0258,0.0308,0.0342,0.037,0.0403,0.0438,0.0471,0.0526,0.0768
0.3834,0.4109,0.9182,0.0368,0.1344,0.0507,0.085,0.0855,0.1175,0.9135,0.9544,0.9691,0.0627,0.0701,0.0963,0.193058,0.030405476,0.000120034,-0.115164606,-0.315207075,0.0152,0.0218,0.0243,0.0273,0.0303,0.0334,0.0362,0.0403,0.0447,0.057
0.4128,0.4404,0.6108,0.045,0.1419,0.0816,0.0877,0.0887,0.1361,0.8843,0.9282,0.8311,0.0569,0.0605,0.0721,0.138817,0.021861728,9.86e-05,0.115996233,-0.71735009,0.0093,0.011,0.0151,0.0198,0.0213,0.0244,0.027,0.0313,0.0352,0.0464
0.3597,0.4621,0.6319,0.0422,0.1298,0.0595,0.08,0.0978,0.1078,0.8822,0.86,0.9391,0.0504,0.0569,0.0735,0.17435,0.023114804,0.000109156,0.168513911,-0.642836893,0.0102,0.0137,0.0161,0.0198,0.0225,0.0255,0.029,0.0324,0.0371,0.0515
0.4181,0.4091,0.8458,0.0421,0.1196,0.0579,0.0728,0.0946,0.1129,0.8613,0.8766,0.9722,0.084,0.0863,0.0993,0.16503,0.023136807,6.2e-05,-0.237077126,-0.564123908,0.0117,0.0153,0.0197,0.0215,0.0238,0.0253,0.0276,0.0308,0.0332,0.0394
0.3529,0.4053,0.517,0.046,0.1484,0.0637,0.0984,0.1092,0.115,0.8921,0.8594,0.9709,0.0601,0.0769,0.0981,0.228137,0.029047603,0.000173109,0.236372299,-0.428522312,0.0125,0.0166,0.0216,0.0246,0.0287,0.0318,0.0363,0.0402,0.0467,0.0656
0.4129,0.4218,0.8227,0.0476,0.1304,0.0644,0.0849,0.0929,0.1168,0.8508,0.9164,0.9062,0.0501,0.0644,0.0968,0.158726,0.025680142,7.76e-05,-0.267893761,-0.645317747,0.0147,0.0174,0.0212,0.0243,0.0257,0.0287,0.0316,0.0342,0.0368,0.0433
0.3699,0.4669,0.7331,0.0475,0.1263,0.0723,0.0757,0.1015,0.1033,0.9374,0.9226,0.9144,0.0592,0.071,0.0901,0.153049,0.025591988,0.000119492,0.154331102,-0.665614785,0.0111,0.0154,0.0193,0.0213,0.0249,0.0281,0.0319,0.0352,0.0409,0.0517
0.3558,0.4685,0.8386,0.0474,0.1347,0.0562,0.0754,0.1011,0.1212,0.9021,0.9516,0.9833,0.0564,0.0629,0.0848,0.162289,0.026782053,0.000109846,0.294314854,-0.160209264,0.0133,0.0175,0.0202,0.0234,0.0255,0.0288,0.0325,0.036,0.0408,0.0579
0.3504,0.4692,0.7068,0.0418,0.1396,0.0496,0.0656,0.1078,0.1174,0.9082,0.9834,0.9527,0.0576,0.0611,0.0923,0.168322,0.022999068,0.000102907,0.210383432,-0.553569424,0.0102,0.0143,0.0163,0.0198,0.0224,0.0255,0.0277,0.0315,0.0368,0.0502
0.4147,0.4456,0.8169,0.0422,0.127,0.0615,0.0764,0.1017,0.1136,0.829,0.9711,0.8371,0.0678,0.0754,0.0993,0.126972,0.01944588,5.03e-05,-0.152706551,-0.737710137,0.0107,0.0124,0.0152,0.0172,0.0204,0.0215,0.0248,0.0259,0.0287,0.0354
0.4,0.4481,0.9089,0.0387,0.1116,0.0488,0.0717,0.0831,0.1021,0.9626,0.9564,0.9382,0.0605,0.0795,0.0824,0.141998,0.023165794,6.37e-05,-0.234775921,-0.393293458,0.0121,0.016,0.0198,0.0214,0.024,0.0255,0.0275,0.0306,0.0335,0.043
0.4116,0.4024,0.941,0.0434,0.1407,0.0539,0.07,0.0984,0.1277,0.9512,0.8735,0.9386,0.0543,0.0647,0.0833,0.166115,0.027649946,8.66e-05,-0.461807239,-0.166113225,0.0143,0.0207,0.0242,0.0259,0.0287,0.0312,0.0334,0.036,0.0386,0.0477
0.3631,0.4398,0.943,0.044,0.1142,0.0534,0.065,0.0853,0.0981,0.8827,0.9522,0.8817,0.0548,0.0568,0.0782,0.189685,0.028798791,0.000101715,-0.325059268,-0.246647816,0.015,0.0202,0.0241,0.0265,0.0296,0.032,0.0349,0.0372,0.0416,0.0515
0.3919,0.4143,0.6587,0.0491,0.1118,0.0608,0.0704,0.0822,0.0982,0.8737,0.805,0.9389,0.0805,0.0833,0.088,0.188032,0.021734189,7.12e-05,-0.100717557,-0.741581523,0.0102,0.0142,0.0163,0.0198,0.0217,0.0249,0.0262,0.0299,0.033,0.0403
0.3669,0.4831,0.6458,0.0401,0.142,0.0569,0.0924,0.0952,0.1222,0.9219,0.8624,0.9181,0.0581,0.0613,0.094,0.132466,0.021229283,0.000106637,0.417426114,-0.136039132,0.0073,0.0116,0.0157,0.0182,0.021,0.0241,0.0262,0.0301,0.0352,0.0539
0.3977,0.4207,0.8033,0.0458,0.1213,0.0675,0.0682,0.0836,0.1046,0.8047,0.834,0.8082,0.0643,0.0779,0.0822,0.173506,0.025567474,7.45e-05,-0.211354554,-0.563369291,0.0149,0.017,0.0214,0.0244,0.0259,0.0283,0.0309,0.0334,0.0364,0.0439
0.3514,0.4601,0.5099,0.0374,0.1167,0.0456,0.0656,0.0757,0.093,0.9817,0.9543,0.8089,0.0599,0.0871,0.0921,0.182951,0.018406068,6.71e-05,0.088608975,-0.741760663,0.0066,0.0107,0.0141,0.0157,0.0192,0.0209,0.0228,0.0261,0.0293,0.0409
